session_id,title,start_time,end_time,total_comments,purchase_comments,sales_amount,number_of_orders,views,reactions,shares,products,streamer_id,region
1,"10 APR 25 - SG GUCCI - AH GIRL - [CART RESERVATION TILL: 10 APR 25 11PM]","2025-04-10 19:30:00","2025-04-10 21:30:00",2500,250,12500.00,25,50,150,15,"GUCCI Bag (S$4000), GUCCI Wallet (S$1000)",1,0
2,"11 APR 25 - SG COACH - GLADYS - [CART RESERVATION TILL: 11 APR 25 2PM]","2025-04-11 14:00:00","2025-04-11 16:00:00",1800,180,3600.00,18,30,120,10,"COACH Bag (S$1500), COACH Scarf (S$500)",2,0
3,"12 APR 25 - KR CALVIN KLEIN - JAMES - 10% OFF","2025-04-12 09:00:00","2025-04-12 11:00:00",1200,120,1800.00,12,20,80,5,"CALVIN KLEIN Bag (S$1000), CALVIN KLEIN Belt (S$500)",3,2
4,"13 APR 25 - SG GUCCI - AH GIRL - LIMITED","2025-04-13 20:00:00","2025-04-13 22:30:00",3000,300,15000.00,30,60,200,20,"GUCCI Sunglasses (S$2000), GUCCI Shoes (S$3000)",1,0
5,"14 APR 25 - US COACH - GLADYS - [CART RESERVATION TILL: 14 APR 25 3PM]","2025-04-14 10:00:00","2025-04-14 12:00:00",1500,150,3000.00,15,25,100,8,"COACH Wallet (S$800), COACH Shoes (S$1200)",2,1
6,"15 APR 25 - SG PRADA - JAMES - 15% OFF","2025-04-15 18:00:00","2025-04-15 20:00:00",2000,200,8000.00,20,40,130,12,"PRADA Bag (S$3000), PRADA Sunglasses (S$1000)",3,0
7,"16 APR 25 - SG CALVIN KLEIN - AH GIRL","2025-04-16 13:00:00","2025-04-16 15:00:00",1000,100,1500.00,10,15,70,4,"CALVIN KLEIN Jacket (S$1000), CALVIN KLEIN Scarf (S$500)",1,0
8,"17 APR 25 - KR GUCCI - GLADYS - EXCLUSIVE","2025-04-17 11:00:00","2025-04-17 13:30:00",2800,280,14000.00,28,55,180,18,"GUCCI Necklace (S$2500), GUCCI Earrings (S$2500)",2,2
9,"18 APR 25 - SG COACH - JAMES - [CART RESERVATION TILL: 18 APR 25 11PM]","2025-04-18 19:00:00","2025-04-18 21:00:00",1600,160,3200.00,16,35,110,9,"COACH Bag (S$1500), COACH Wallet (S$500)",3,0
10,"19 APR 25 - US PRADA - AH GIRL - 20% OFF","2025-04-19 08:00:00","2025-04-19 10:00:00",2200,220,8800.00,22,45,140,14,"PRADA Shoes (S$2000), PRADA Bag (S$2000)",1,1
11,"20 APR 25 - SG CHANEL - GLADYS - LIMITED","2025-04-20 20:30:00","2025-04-20 22:30:00",3200,320,16000.00,32,65,210,22,"CHANEL Bag (S$5000), CHANEL Perfume (S$1000)",2,0
12,"21 APR 25 - KR COACH - JAMES - 5% OFF","2025-04-21 10:00:00","2025-04-21 12:00:00",1400,140,2800.00,14,28,90,7,"COACH Bag (S$1500), COACH Belt (S$500)",3,2
13,"22 APR 25 - SG GUCCI - AH GIRL - [CART RESERVATION TILL: 22 APR 25 11PM]","2025-04-22 19:00:00","2025-04-22 21:00:00",2600,260,13000.00,26,52,160,16,"GUCCI Bag (S$4000), GUCCI Scarf (S$1000)",1,0
14,"23 APR 25 - US CALVIN KLEIN - GLADYS","2025-04-23 09:00:00","2025-04-23 11:00:00",1100,110,1650.00,11,18,75,5,"CALVIN KLEIN Shoes (S$1000), CALVIN KLEIN Wallet (S$500)",2,1
15,"24 APR 25 - SG PRADA - JAMES - EXCLUSIVE","2025-04-24 18:30:00","2025-04-24 20:30:00",2100,210,8400.00,21,42,135,13,"PRADA Wallet (S$2000), PRADA Shoes (S$2000)",3,0